sigma10,R10,bg10,sigma15,R15,bg15
1408.263,15.38222288,14.5823094657801,1408.263,16.40004897,15.3004398629179
1408.745,15.3711889,14.5870501093924,1408.745,16.40829325,15.3054314608489
1409.227,15.35145049,14.5917784244481,1409.227,16.40995362,15.31041062036
1409.709,15.37044842,14.5964944448237,1409.709,16.39859061,15.3153773725792
1410.191,15.34105626,14.6011982043283,1410.191,16.41688377,15.3203317485763
1410.673,15.34305549,14.6058897367031,1410.673,16.40783558,15.3252737793634
1411.156,15.34429288,14.6105787711424,1411.156,16.41580009,15.3302137107432
1411.638,15.33617284,14.6152459250189,1411.638,16.38766355,15.3351311184632
1412.12,15.32051417,14.6199009526546,1412.12,16.40644505,15.3400362737266
1412.602,15.30014686,14.6245438875211,1412.602,16.40278165,15.3449292073147
1413.084,15.29322717,14.6291747630229,1413.084,16.39829592,15.349809949951
1413.566,15.30065575,14.6337936124975,1413.566,16.40072928,15.3546785323019
1414.048,15.29105066,14.6384004692155,1414.048,16.41737708,15.359534984976
1414.53,15.27387218,14.6429953663804,1414.53,16.36071833,15.364379338525
1415.012,15.27707777,14.6475783371289,1415.012,16.39720303,15.3692116234433
1415.495,15.2449293,14.6521588857542,1415.495,16.41028328,15.3740418581872
1415.977,15.22650206,14.6567180782416,1415.977,16.38925752,15.3788500722175
1416.459,15.20946484,14.6612654433914,1416.459,16.42434508,15.3836463088203
1416.941,15.20768131,14.6658010140741,1416.941,16.38640745,15.3884305982618
1417.423,15.19688278,14.6703248230936,1417.423,16.37742972,15.3932029707511
1417.905,15.17430487,14.6748369031877,1417.905,16.36229526,15.3979634564407
1418.387,15.1439365,14.6793372870278,1418.387,16.35204947,15.4027120854264
1418.869,15.14857202,14.6838260072195,1418.869,16.3439559,15.4074488877472
1419.352,15.10999477,14.6883123728009,1419.352,16.3391598,15.4121836840602
1419.834,15.09600147,14.6927778392184,1419.834,16.31968753,15.4168968985613
1420.316,15.11125683,14.6972317394753,1420.316,16.27467533,15.4215983762377
1420.798,15.10047351,14.7016741059136,1420.798,16.29794908,15.4262881469027
1421.28,15.10367891,14.7061049708095,1421.28,16.28901352,15.4309662403131
1421.762,15.07144337,14.7105243663736,1421.762,16.27463076,15.4356326861696
1422.244,15.06872072,14.714932324751,1422.244,16.27132104,15.4402875141168
1422.726,15.06828812,14.7193288780216,1422.726,16.2845209,15.4449307537433
1423.208,15.03595287,14.7237140581999,1423.208,16.25508544,15.4495624345815
1423.69,15.06718252,14.7280878972351,1423.69,16.26112744,15.4541825861081
1424.173,15.02888854,14.7324594661693,1424.173,16.23575382,15.4588007873281
1424.655,15.02192219,14.7368106951418,1424.655,16.22231526,15.4633979446708
1425.137,15.01394465,14.7411506784946,1425.137,16.23584753,15.4679836608576
1425.619,15.00930445,14.7454794479169,1425.619,16.22978071,15.4725579651423
1426.101,14.97910023,14.7497970350332,1426.101,16.21829561,15.4771208867228
1426.583,14.98964484,14.7541034714031,1426.583,16.2143927,15.4816724547415
1427.065,14.95957368,14.7583987885219,1427.065,16.19758012,15.4862126982857
1427.547,14.96716266,14.7626830178202,1427.547,16.17254844,15.4907416463871
1428.03,14.92442939,14.7669650446967,1428.03,16.17576332,15.4952686891143
1428.512,14.91299844,14.7712271695472,1428.512,16.17666374,15.49977510992
1428.994,14.89380312,14.7754783005477,1428.994,16.14289835,15.5042703221067
1429.476,14.8886771,14.7797184688717,1429.476,16.12474405,15.5087543544854
1429.958,14.87970545,14.7839477056283,1429.958,16.12631247,15.5132272358122
1430.44,14.86989489,14.788166041863,1430.44,16.1035324,15.5176889947881
1430.922,14.84692188,14.7923735085572,1430.922,16.09232719,15.5221396600594
1431.404,14.83474752,14.7965701366283,1431.404,16.09876296,15.5265792602175
1431.886,14.83115728,14.8007559569304,1431.886,16.07835004,15.5310078237994
1432.369,14.83093835,14.804939650988,1432.369,16.07797447,15.5354345329168
1432.851,14.82246751,14.8091039257959,1432.851,16.07069325,15.539841085988
1433.333,14.78486642,14.8132574850784,1433.333,16.05968564,15.5442366878245
1433.815,14.77299046,14.8174003594353,1433.815,16.04853509,15.548621366745
1434.297,14.7588241,14.8215325794029,1434.297,16.02142751,15.5529951510136
1434.779,14.75317614,14.8256541754546,1434.779,16.02330356,15.5573580688404
1435.261,14.72447417,14.8297651780003,1435.261,16.01319639,15.561710148381
1435.743,14.71774346,14.8338656173871,1435.743,15.98244022,15.566051417737
1436.226,14.70154726,14.8379639982545,1436.226,15.93956492,15.5703908781808
1436.708,14.66870451,14.8420433803548,1436.708,15.9399924,15.5747105889739
1437.19,14.65635267,14.8461122900226,1437.19,15.9279349,15.5790195736212
1437.672,14.62045901,14.8501707573535,1437.672,15.88863043,15.5833178600082
1438.154,14.6352477,14.8542188123806,1438.154,15.87836045,15.5876054759668
1438.636,14.61977901,14.8582564850745,1438.636,15.86769142,15.5918824492751
1439.118,14.60047484,14.8622838053432,1439.118,15.86975143,15.5961488076578
1439.6,14.58608856,14.8663008030326,1439.6,15.86542937,15.6004045787856
1440.083,14.58784096,14.8703158099131,1440.083,15.84577858,15.6046585868113
1440.565,14.57867689,14.8743122304702,1440.565,15.83011608,15.6088932444063
1441.047,14.53556497,14.8782984176734,1441.047,15.81356266,15.6131173974955
1441.529,14.51735691,14.8822744011198,1441.529,15.80681432,15.6173310735364
1442.011,14.51143861,14.8862402103446,1442.011,15.79789162,15.6215342999327
1442.493,14.50377215,14.8901958748212,1442.493,15.78377622,15.6257271040354
1442.975,14.49872775,14.894141423961,1442.975,15.78661772,15.6299095131423
1443.457,14.48222368,14.8980768871141,1443.457,15.78415418,15.634081554498
1443.939,14.45665129,14.9020022935688,1443.939,15.75820935,15.6382432552944
1444.422,14.44108236,14.9059257853415,1444.422,15.75476896,15.6424032448053
1444.904,14.42808052,14.9098311453054,1444.904,15.75648169,15.6465443245342
1445.386,14.40110464,14.9137265361276,1445.386,15.74197796,15.6506751450181
1445.868,14.3785306,14.9176119868508,1445.868,15.69402326,15.6547957332377
1446.35,14.37697737,14.9214875264566,1446.35,15.70324381,15.6589061161211
1446.832,14.35674736,14.9253531838655,1446.832,15.68752265,15.6630063205435
1447.314,14.32234326,14.9292089879371,1447.314,15.66445,15.6670963733281
1447.796,14.33779547,14.93305496747,1447.796,15.64147112,15.6711763012454
1448.279,14.31272463,14.9368990999265,1448.279,15.62949269,15.6752545641654
1448.76,14.28856534,14.9407175678099,1448.76,15.61575667,15.679305889299
1449.243,14.26610883,14.9445421542265,1449.243,15.58640079,15.6833639941871
1449.725,14.26134277,14.94834910226,1449.725,15.5861402,15.6874036685386
1450.207,14.25861784,14.9521463688963,1450.207,15.57734174,15.6914333511473
1450.689,14.24258028,14.9559339825703,1450.689,15.56622824,15.6954530684708
1451.171,14.22118775,14.9597119716564,1451.171,15.54707463,15.6994628469148
1451.653,14.20384683,14.963480364469,1451.653,15.52474046,15.703462712833
1452.135,14.19793524,14.9672391892622,1452.135,15.53361257,15.7074526925276
1452.617,14.199724,14.9709884742302,1452.617,15.51856763,15.7114328122488
1453.1,14.20497699,14.9747359965047,1453.1,15.52607866,15.7154113250992
1453.582,14.17172837,14.978466266518,1453.582,15.50506596,15.7193717830977
1454.064,14.15517284,14.9821870809867,1454.064,15.51121778,15.7233224596185
1454.546,14.1403887,14.9858984678654,1454.546,15.49254817,15.7272633807057
1455.028,14.13098245,14.989600455049,1455.028,15.46908805,15.731194572352
1455.51,14.10902356,14.9932930703727,1455.51,15.45134189,15.7351160604988
1455.992,14.10631664,14.9969763416125,1455.992,15.41679621,15.7390278710363
1456.474,14.09885724,15.0006502964848,1456.474,15.38874533,15.7429300298037
1456.957,14.07806023,15.0043225560521,1456.957,15.34572195,15.7468306283946
1457.439,14.05381013,15.0079779419163,1457.439,15.29818092,15.7507135410437
1457.921,14.04566941,15.0116240942638,1457.921,15.27097553,15.7545868791866
1458.403,14.06361288,15.0152610405742,1458.403,15.22324881,15.7584506684585
1458.885,14.04202269,15.0188888082681,1458.885,15.20468894,15.7623049344434
1459.367,14.04174533,15.0225074247072,1459.367,15.17718444,15.7661497026748
1459.849,14.03106226,15.0261169171943,1459.849,15.18847987,15.7699849986355
1460.331,14.03959544,15.0297173129737,1460.331,15.19467785,15.7738108477575
1460.813,14.02657719,15.0333086392306,1460.813,15.17280182,15.7776272754224
1461.296,14.01469803,15.0368983458356,1461.296,15.19291634,15.7814421956172
1461.778,13.99144883,15.0404715956942,1461.778,15.19910713,15.7852398368954
1462.26,13.99573177,15.0440358572918,1462.26,15.19686083,15.7890281326109
1462.742,14.01606796,15.04759115758,1462.742,15.19243259,15.7928071079435
1463.224,14.00258219,15.051137523452,1463.224,15.18596835,15.7965767880231
1463.706,13.9771213,15.054674981743,1463.706,15.1656604,15.8003371979291
1464.188,13.98740057,15.0582035592302,1464.188,15.13204598,15.8040883626912
1464.67,13.97810073,15.0617232826327,1464.67,15.10618939,15.8078303072887
1465.153,13.96468466,15.0652414534705,1465.153,15.12655952,15.8115707914034
1465.635,13.96923867,15.0687435303978,1465.635,15.10223073,15.8152943514109
1466.117,13.96980061,15.0722368331054,1466.117,15.07019806,15.8190087659443
1466.599,13.94321465,15.0757213880813,1466.599,15.08716283,15.8227140597838
1467.081,13.92404419,15.0791972217557,1467.081,15.04592557,15.8264102576596
1467.563,13.92543906,15.0826643605012,1467.563,15.05265491,15.8300973842525
1468.045,13.92408583,15.0861228306332,1468.045,15.06446008,15.8337754641937
1468.527,13.90064547,15.0895726584096,1468.527,15.0396361,15.8374445220648
1469.01,13.91649482,15.093021000536,1469.01,15.02600345,15.8411121665484
1469.492,13.89176107,15.0964536043517,1469.492,15.03437782,15.8447632352362
1469.974,13.90025381,15.0998776442965,1469.974,15.03910162,15.8484053553534
1470.456,13.85750408,15.1032931463998,1470.456,15.02535107,15.8520385512846
1470.938,13.89731984,15.1067001366338,1470.938,15.01900826,15.8556628473648
1471.42,13.86172559,15.1100986409141,1471.42,15.01656052,15.8592782678804
1471.902,13.84919719,15.1134886850993,1471.902,14.97721032,15.8628848370683
1472.384,13.85031072,15.1168702949916,1472.384,14.96780737,15.8664825791168
1472.866,13.87305847,15.1202434963363,1472.866,14.92890179,15.8700715181653
1473.349,13.8529443,15.1236152870773,1473.349,14.92917599,15.8736590969133
1473.831,13.87102145,15.126971731025,1473.831,14.9195796,15.8772304840456
1474.313,13.84389426,15.1303198433754,1474.313,14.9122359,15.8807931403528
1474.795,13.88589415,15.1336596496483,1474.795,14.8885909,15.8843470897794
1475.277,13.86862449,15.1369911753071,1475.277,14.85251581,15.8878923562211
1475.759,13.8737242,15.140314445759,1475.759,14.85924742,15.8914289635253
1476.241,13.86206209,15.1436294863554,1476.241,14.84912487,15.8949569354909
1476.723,13.87315431,15.1469363223916,1476.723,14.84742803,15.8984762958683
1477.206,13.88044665,15.1502418143082,1477.206,14.83975121,15.9019943432097
1477.688,13.88834908,15.1535322999951,1477.688,14.82156436,15.9054965337261
1478.17,13.87500893,15.1568146567247,1478.17,14.83711133,15.9089901836656
1478.652,13.89320249,15.1600889095691,1478.652,14.82904691,15.9124753165859
1479.134,13.8937906,15.1633550835449,1479.134,14.82323504,15.9159519559967
1479.616,13.88261495,15.166613203613,1479.616,14.80720549,15.9194201253598
1480.098,13.9097801,15.1698632946791,1480.098,14.81097087,15.922879848089
1480.58,13.89702098,15.1731053815935,1480.58,14.81649863,15.9263311475503
1481.062,13.8933834,15.1763394891513,1481.062,14.82685809,15.929774047062
1481.544,13.90610333,15.1795656420924,1481.544,14.80182865,15.9332085698946
1482.027,13.90565091,15.1827905336867,1482.027,14.80462948,15.936641838839
1482.509,13.89435337,15.1860008350181,1482.509,14.79917655,15.9400596606761
1482.991,13.92891904,15.1892032556732,1482.991,14.7980793,15.9434691754082
1483.473,13.91413692,15.1923978201717,1483.473,14.8043262,15.9468704061157
1483.955,13.93170286,15.1955845529788,1483.955,14.79611179,15.9502633758315
1484.437,13.93232197,15.198763478505,1484.437,14.78592335,15.9536481075413
1484.919,13.92449219,15.2019346211059,1484.919,14.79587878,15.9570246241836
1485.401,13.93182203,15.2050980050829,1485.401,14.79534275,15.9603929486496
1485.884,13.95446348,15.2082601936506,1485.884,14.80903044,15.9637600665833
1486.366,13.94567616,15.2114081170946,1486.366,14.8006956,15.9671120583041
1486.848,13.98999004,15.2145483545421,1486.848,14.78852136,15.970455926287
1487.33,13.97840142,15.2176809300768,1487.33,14.79968431,15.9737916932351
1487.812,13.98853754,15.2208058677284,1487.812,14.79154033,15.9771193818047
1488.294,14.00031084,15.2239231914724,1488.294,14.78104334,15.9804390146052
1488.776,14.0364818,15.2270329252305,1488.776,14.79915517,15.9837506141993
1489.258,14.0613103,15.2301350928703,1489.258,14.78093645,15.9870542031032
1489.74,14.07269919,15.2332297182058,1489.74,14.79506484,15.9903498037862
1490.223,14.09980398,15.2363232219837,1490.223,14.77390718,15.9936442512258
1490.705,14.11246912,15.2394028184121,1490.705,14.8113184,15.9969239262326
1491.187,14.12028792,15.2424749437046,1491.187,14.77454866,16.0001956801944
1491.669,14.10763826,15.2455396214603,1491.669,14.7946888,16.0034595353948
1492.151,14.14263189,15.2485968752249,1492.151,14.81793991,16.0067155140711
1492.633,14.13851777,15.251646728491,1492.633,14.83195857,16.0099636384145
1493.115,14.14872812,15.2546892046977,1493.115,14.81825934,16.01320393057
1493.597,14.16666161,15.2577243272308,1493.597,14.84764426,16.0164364126366
1494.08,14.16424097,15.2607583935461,1494.08,14.84625917,16.0196677888233
1494.562,14.17991682,15.2637788635419,1494.562,14.857539,16.0228847007355
1495.044,14.21058024,15.2667920497517,1495.044,14.86351766,16.0260938686252
1495.526,14.2216081,15.2697979753492,1495.526,14.88429415,16.0292953144074
1496.008,14.24326773,15.2727966634555,1496.008,14.88496509,16.0324890599517
1496.49,14.26727864,15.2757881371387,1496.49,14.91272642,16.0356751270816
1496.972,14.29736492,15.2787724194144,1496.972,14.93012811,16.0388535375752
1497.454,14.30813242,15.2817495332457,1497.454,14.94036332,16.042024313165
1497.937,14.33542795,15.284725655891,1497.937,14.95343531,16.0451940302166
1498.419,14.38758556,15.2876884867587,1498.419,14.96177643,16.0483495852865
1498.901,14.35709109,15.2906442178033,1498.901,14.99902893,16.051497570422
1499.383,14.37912035,15.2935928717783,1499.383,15.00254183,16.0546380071737
1499.865,14.42500692,15.2965344713847,1499.865,15.01338216,16.0577709170471
1500.347,14.43565194,15.2994690392715,1500.347,15.04108176,16.0608963215025
1500.829,14.43999838,15.3023965980356,1500.829,15.04691627,16.064014241955
1501.311,14.4437747,15.3053171702221,1501.311,15.04914636,16.0671246997747
1501.793,14.46359834,15.3082307783241,1501.793,15.04933797,16.0702277162867
1502.276,14.4693662,15.3111434680108,1502.276,15.07849448,16.073329727472
1502.758,14.47118245,15.3140432008836,1502.758,15.10563608,16.0764179098358
1503.24,14.4960723,15.3169360368869,1503.24,15.0937209,16.0794987146416
1503.722,14.51082682,15.3198219983068,1503.722,15.10250131,16.082572163035
1504.204,14.52777642,15.3227011073779,1504.204,15.12569117,16.0856382761168
1504.686,14.56394679,15.3255733862836,1504.686,15.13802249,16.0886970749433
1505.168,14.54969128,15.3284388571557,1505.168,15.15909479,16.0917485805262
1505.65,14.60315389,15.3312975420748,1505.65,15.19678177,16.0947928138328
1506.133,14.6264877,15.334155372903,1506.133,15.21975853,16.097836089055
1506.615,14.63950005,15.3370005379887,1506.615,15.25016038,16.1008658255534
1507.097,14.69067225,15.3398389831017,1507.097,15.30329425,16.1038883524539
1507.579,14.73284642,15.3426707301182,1507.579,15.34065122,16.1069036905461
1508.061,14.75992401,15.3454958008635,1508.061,15.34598645,16.1099118605756
1508.543,14.76740113,15.3483142171119,1508.543,15.37924244,16.1129128832439
1509.025,14.78220472,15.3511260005873,1509.025,15.37162031,16.1159067792082
1509.507,14.79308915,15.3539311729625,1509.507,15.35812062,16.1188935690819
1509.99,14.838694,15.3567355552138,1509.99,15.36211584,16.1218794480425
1510.471,14.827191,15.3595217708516,1510.471,15.37072552,16.1248459127912
1510.954,14.86226055,15.3623130116493,1510.954,15.38256684,16.1278176530118
1511.436,14.86001945,15.3650919418283,1511.436,15.36755091,16.1307762092271
1511.918,14.87447252,15.3678643685591,1511.918,15.39992113,16.1337277618028
1512.4,14.89078959,15.3706303132122,1512.4,15.40352216,16.1366723310896
1512.882,14.90581138,15.3733897971078,1512.882,15.41722966,16.1396099373944
1513.364,14.91475487,15.3761428415163,1513.364,15.41577371,16.1425406009806
1513.846,14.94653938,15.3788894676578,1513.846,15.39954714,16.1454643420682
1514.328,14.93375946,15.3816296967026,1514.328,15.43647807,16.148381180834
1514.811,14.97519751,15.3843692150524,1514.811,15.41984482,16.1512971675254
1515.293,15.00035571,15.3870967000531,1515.293,15.44678265,16.1542002477881
1515.775,15.00698924,15.3898178512128,1515.775,15.45481957,16.1570964860407
1516.257,15.03858162,15.3925326895029,1516.257,15.45611322,16.1599859022867
1516.739,15.05971385,15.3952412358451,1516.739,15.49317748,16.1628685164866
1517.221,15.04874612,15.3979435111117,1517.221,15.49224433,16.165744348558
1517.703,15.07932595,15.4006395361256,1517.703,15.49130323,16.1686134183755
1518.185,15.08578318,15.4033293316603,1518.185,15.53436664,16.1714757457708
1518.667,15.11484879,15.4060129184401,1518.667,15.5461028,16.1743313505326
1519.15,15.1285668,15.4086958654911,1519.15,15.56915056,16.1771861560378
1519.632,15.14177981,15.4113670839633,1519.632,15.59257803,16.1800283608832
1520.114,15.15093902,15.4140321556013,1520.114,15.6061188,16.182863902246
1520.596,15.15868491,15.4166911009333,1520.596,15.62960354,16.1856927997443
1521.078,15.18714021,15.4193439404382,1521.078,15.66324321,16.1885150729536
1521.56,15.1945408,15.4219906945462,1521.56,15.68324356,16.1913307414069
1522.042,15.23233153,15.4246313836391,1522.042,15.71081909,16.1941398245948
1522.524,15.22072961,15.4272660280495,1522.524,15.72759308,16.1969423419657
1523.007,15.22717935,15.4299000953822,1523.007,15.74588746,16.1997441069037
1523.489,15.24925269,15.4325226987966,1523.489,15.7327106,16.2025335372948
1523.971,15.23054647,15.4351393182779,1523.971,15.74516745,16.2053164600003
1524.453,15.25069935,15.4377499739651,1524.453,15.73529377,16.2080928942997
1524.935,15.22856431,15.4403546859487,1524.935,15.72235088,16.2108628594302
1525.417,15.2418068,15.4429534742712,1525.417,15.71246602,16.2136263745874
1525.899,15.22653168,15.4455463589268,1525.899,15.70774654,16.2163834589247
1526.381,15.21778937,15.4481333598618,1526.381,15.69860328,16.2191341315537
1526.864,15.23721595,15.4507198459489,1526.864,15.68722327,16.2218840984392
1527.346,15.2536477,15.4532951269853,1527.346,15.67234232,16.2246219916159
1527.828,15.25117554,15.4558645838931,1527.828,15.7007313,16.2273535302079
1528.31,15.25192787,15.4584282364268,1528.31,15.69271222,16.23007873316
1528.792,15.24695606,15.4609861042931,1528.792,15.69824898,16.2327976193753
1529.274,15.25942497,15.4635382071514,1529.274,15.71635267,16.2355102077154
1529.756,15.27097462,15.4660845646134,1529.756,15.73226989,16.2382165170006
1530.238,15.29033938,15.4686251962432,1530.238,15.75671477,16.2409165660096
1530.72,15.2960123,15.4711601215576,1530.72,15.75882103,16.2436103734799
1531.203,15.31162313,15.4736946015109,1531.203,15.76448347,16.2463035275539
1531.685,15.33448113,15.4762181608177,1531.685,15.7592903,16.248984895142
1532.167,15.33039237,15.478736072116,1532.167,15.82105999,16.2516600771953
1532.649,15.36326529,15.4812483547334,1532.649,15.84755299,16.2543290922863
1533.131,15.38900853,15.4837550279508,1533.131,15.84461304,16.2569919589468
1533.613,15.41850224,15.4862561110019,1533.613,15.88176763,16.2596486956676
1534.095,15.43494545,15.4887516230736,1534.095,15.89215819,16.2622993208985
1534.577,15.44908404,15.4912415833059,1534.577,15.91126911,16.2649438530484
1535.06,15.46591588,15.4937311594679,1535.06,15.92316625,16.2675877781619
1535.542,15.47364973,15.496210061835,1535.542,15.9294923,16.2702201666678
1536.024,15.50009316,15.498683469542,1536.024,15.95464604,16.2728465171133
1536.506,15.48194856,15.5011514015421,1536.506,15.95182803,16.2754668477443
1536.988,15.48877978,15.5036138767423,1536.988,15.94965192,16.2780811767666
1537.47,15.52294767,15.5060709140029,1537.47,15.95194657,16.2806895223453
1537.952,15.52090704,15.5085225321381,1537.952,15.98812982,16.2832919026049
1538.434,15.56714178,15.5109687499159,1538.434,15.98498145,16.2858883356298
1538.917,15.5726084,15.5134146444521,1538.917,16.01177971,16.2884842078023
1539.398,15.59061414,15.5158450592397,1539.398,16.0239656,16.2910634321111
1539.881,15.6194605,15.5182802243095,1539.881,16.03162161,16.2936474754201
1540.363,15.6430862,15.5207050163837,1540.363,16.02039302,16.296220287373
1540.845,15.68083463,15.523124501287,1540.845,16.031482,16.2987872419463
1541.327,15.67832006,15.5255386975111,1541.327,16.03959437,16.3013483569831
1541.809,15.70389019,15.5279476235022,1541.809,16.03535869,16.3039036502868
1542.291,15.67963237,15.5303512976604,1542.291,16.01526291,16.3064531396208
1542.773,15.65497574,15.5327497383406,1542.773,16.02606821,16.3089968427086
1543.255,15.66455679,15.5351429638519,1543.255,16.02956593,16.3115347772339
1543.738,15.6567751,15.5375359414847,1543.738,16.00991066,16.314072208368
1544.22,15.63615199,15.5399187806788,1544.22,16.03594092,16.3165986467843
1544.702,15.61926502,15.5422964593966,1544.702,16.04400333,16.3191193694877
1545.184,15.60324082,15.5446689957659,1545.184,16.02906452,16.3216343940033
1545.666,15.60888281,15.5470364078692,1545.666,16.03744327,16.3241437378168
1546.148,15.58408285,15.5493987137436,1546.148,16.03632983,16.3266474183745
1546.63,15.58737664,15.5517559313816,1546.63,16.03821122,16.329145453083
1547.112,15.55504798,15.5541080787305,1547.112,16.04010976,16.33163785931
1547.594,15.55893761,15.5564551736926,1547.594,16.02206033,16.3341246543837
1548.077,15.56067154,15.5588020879512,1548.077,16.02885302,16.3366109975107
1548.559,15.55032723,15.5611391212782,1548.559,16.01885742,16.339086610554
1549.041,15.54740179,15.5634711556939,1549.041,16.03540131,16.3415566642295
1549.523,15.53173403,15.5657982089216,1549.523,16.02941608,16.3440211757089
1550.005,15.51387767,15.5681202986402,1550.005,16.02508664,16.346480162125
1550.487,15.53102111,15.5704374424841,1550.487,16.01305575,16.3489336405716
1550.969,15.51540637,15.5727496580432,1550.969,16.01141866,16.3513816281037
1551.451,15.52260758,15.5750569628632,1551.451,15.99437209,16.3538241417376
1551.934,15.51980048,15.5773641461586,1551.934,16.0090477,16.3562662489242
1552.416,15.48782588,15.5796616718626,1552.416,15.99767897,16.3586978543866
1552.898,15.5254237,15.5819543392351,1552.898,16.00424257,16.3611240368021
1553.38,15.50039377,15.5842421656449,1553.38,16.01061501,16.3635448130323
1553.862,15.52332962,15.5865251684169,1553.862,16.01066874,16.3659601999002
1554.344,15.52576087,15.5888033648321,1554.344,16.01740689,16.3683702141903
1554.826,15.50870141,15.5910767721276,1554.826,16.02391993,16.3707748726489
1555.308,15.50556363,15.5933454074966,1555.308,16.02569725,16.3731741919837
1555.791,15.5252322,15.5956139800058,1555.791,16.03186189,16.3755731501417
1556.273,15.53691863,15.5978731131156,1556.273,16.03975368,16.3779618302088
1556.755,15.56263615,15.6001275256523,1556.755,16.02859061,16.3803452210806
1557.237,15.55774183,15.6023772346346,1557.237,16.03014376,16.3827233393121
1557.719,15.59078756,15.6046222570379,1557.719,16.01876695,16.3850962014202
1558.201,15.59556426,15.606862609794,1558.201,16.02614393,16.3874638238838
1558.683,15.64029227,15.6090983097918,1558.683,16.00598727,16.389826223144
1559.165,15.67770361,15.6113293738766,1559.165,15.98832993,16.3921834156039
1559.647,15.67776367,15.6135558188506,1559.647,16.00364042,16.3945354176287
1560.13,15.71439093,15.6157822663327,1560.13,16.00826058,16.3968871091165
1560.612,15.69902878,15.6179995138235,1560.612,16.038532,16.3992287685322
1561.094,15.72054468,15.6202121923866,1561.094,16.05070576,16.4015652864161
1561.576,15.7158773,15.6224203186524,1561.576,16.07443541,16.4038966789827
1562.058,15.71530986,15.6246239092082,1562.058,16.07909767,16.406222962409
1562.54,15.73252973,15.6268229805987,1562.54,16.09326273,16.4085441528343
1563.022,15.72469782,15.6290175493259,1563.022,16.12363972,16.4108602663609
1563.504,15.72215265,15.6312076318491,1563.504,16.14779699,16.4131713190533
1563.987,15.74274468,15.6333977744164,1563.987,16.12742977,16.4154821059547
1564.469,15.76630957,15.6355789245171,1564.469,16.15171164,16.417783074607
1564.951,15.76275263,15.6377556375708,1564.951,16.17158801,16.4200790304286
1565.433,15.78321135,15.6399279298669,1565.433,16.15661231,16.4223699893352
1565.915,15.80286503,15.6420958176528,1565.915,16.20234407,16.4246559672054
1566.397,15.80654879,15.6442593171333,1566.397,16.20040394,16.4269369798807
1566.879,15.8218104,15.6464184444715,1566.879,16.23485442,16.4292130431658
1567.361,15.84089395,15.6485732157881,1567.361,16.25472658,16.4314841728282
1567.844,15.84940966,15.6507281041376,1567.844,16.26397129,16.4337550811818
1568.325,15.87169099,15.65286975463,1568.325,16.2780084,16.4360116941717
1568.808,15.90688446,15.6550159932877,1568.808,16.30915894,16.4382727935109
1569.29,15.92625726,15.6571534919994,1569.29,16.33279103,16.4405243355337
1569.772,15.94626209,15.6592867146979,1569.772,16.34515862,16.4427710222527
1570.254,15.98438262,15.661415677253,1570.254,16.37675385,16.4450128692151
1570.736,16.00642964,15.663540395493,1570.736,16.39990144,16.4472498919316
1571.218,16.02950001,15.6656608852043,1571.218,16.43534528,16.4494821058765
1571.7,16.05140521,15.6677771621322,1571.7,16.45383137,16.4517095264875
1572.182,16.07390056,15.6698892419804,1572.182,16.47326624,16.4539321691662
1572.665,16.05825163,15.6720015093089,1572.665,16.51139417,16.4561546457486
1573.147,16.08119282,15.6741052333174,1573.147,16.5023523,16.4583677687885
1573.629,16.1076131,15.6762048071421,1573.629,16.53385692,16.4605761599144
1574.111,16.12916245,15.6783002463219,1574.111,16.5496372,16.4627798343829
1574.593,16.14109771,15.6803915663544,1574.593,16.56915342,16.4649788074142
1575.075,16.17190108,15.6824787826965,1575.075,16.58571074,16.4671730941928
1575.557,16.20856503,15.6845619107638,1575.557,16.61906437,16.469362709867
1576.039,16.22731155,15.6866409659315,1576.039,16.64061642,16.4715476695494
1576.521,16.26802681,15.6887159635336,1576.521,16.69046062,16.4737279883164
1577.004,16.29956928,15.6907912112601,1577.004,16.73093812,16.4759081902963
1577.486,16.31226475,15.6928581312318,1577.486,16.73285,16.4780792627687
1577.968,16.33317237,15.6949210394279,1577.968,16.78026727,16.4802457393719
1578.45,16.33631524,15.6969799510199,1578.45,16.78670514,16.4824076350396
1578.932,16.37887377,15.6990348811391,1578.932,16.8143056,16.4845649646697
1579.414,16.370625,15.7010858448761,1579.414,16.83205442,16.4867177431247
1579.896,16.40669789,15.7031328572814,1579.896,16.83668554,16.4888659852316
1580.378,16.41138303,15.7051759333651,1580.378,16.87508663,16.4910097057819
1580.861,16.42311473,15.7072193146428,1580.861,16.87331249,16.4931533530601
1581.343,16.43363953,15.7092545548639,1581.343,16.88193334,16.4952880654262
1581.825,16.44720438,15.7112859035839,1581.825,16.90268383,16.4974183004289
1582.307,16.47063184,15.7133133756524,1582.307,16.91494207,16.4995440727185
1582.789,16.45702654,15.7153369858791,1582.789,16.94957756,16.50166539691
1583.271,16.49533781,15.7173567490341,1583.271,16.96173538,16.5037822875837
1583.753,16.49934371,15.7193726798473,1583.753,16.97648723,16.5058947592845
1584.235,16.52964659,15.7213847930091,1584.235,16.99511335,16.5080028265225
1584.718,16.52628124,15.7233972658458,1584.718,17.02331407,16.510110863695
1585.2,16.52742105,15.7254017797729,1585.2,17.03380628,16.5122101563347
1585.682,16.56216648,15.7274025199122,1585.682,17.06702515,16.514305087862
